Initial Clause,Final Clause,Status
"As partes qualificadas acima são doravante designadas, em conjunto, “Partes”, ou, individualmente, “Parte”.","As partes qualificadas acima são doravante designadas, em conjunto, “Partes”, ou, individualmente, “Parte”.",equal
CONSIDERANDO QUE:,CONSIDERANDO QUE:,equal
"AS PARTES desejam regular a disponibilização, transferência, troca, uso, manipulação e proteção de informações econômicas, financeiras e operacionais de seus negócios consideradas relevantes, estratégicas, as quais serão tratadas de forma confidencial;","As Partes desejam regular a divulgação e o uso das Informações Confidenciais, as quais deverão ser tratadas de forma confidencial, de acordo com o escopo e os termos e condições pactuados neste acordo.",changed
"Poderão ser fornecidas pelas Partes informações confidenciais, conforme definidas abaixo;","A Parte Reveladora poderá fornecer, à Parte Receptora e/ou a seus Representantes (conforme definido abaixo), Informações Confidenciais (conforme definido abaixo) referentes ao Projeto;",changed
É do interesse das Partes não tornar públicas referidas divulgações ou divulgá-las a quaisquer terceiros sem a prévia autorização expressa.,É do interesse das Partes não tornar públicas referidas Informações Confidenciais ou divulgá-las a quaisquer terceiros não autorizados nos termos deste instrumento;,changed
"RESOLVEM, as Partes celebrar o presente Acordo de Confidencialidade (“Acordo”), mediante as cláusulas e condições a seguir.","RESOLVEM as Partes celebrar o presente Acordo de Confidencialidade (“Acordo”), mediante as cláusulas e condições a seguir.",equal
CLÁUSULA PRIMEIRA – INFORMAÇÕES CONFIDENCIAIS,CLÁUSULA PRIMEIRA – INFORMAÇÕES CONFIDENCIAIS,equal
"Serão consideradas “Informações Confidenciais” e de titularidade da Parte que as transmitiu, toda e qualquer informação visualmente verificada, escrita, eletrônica, digital, magnética, ou de qualquer outro modo revelada, incluindo por meios de códigos ou criptografias, pela Reveladora à Receptora e/ou seus Representantes, a qualquer tempo, contendo ela, ou não, a classificação como “Confidencial”, tais como, mas não se limitando a: informações sobre negociações em andamento, modelos e estratégias de negócios, processos, projetos, características de produtos, conceitos de produtos, know-how, técnicas, amostras de ideias, invenções, designs, desenhos, especificações, diagramas, fórmulas, soluções, modelos, demonstrações, fluxogramas, relatórios, compilações, previsões, avaliações, projeções, softwares, sistemas, programas, bancos de dados, documentos, contratos, preços e custos, definições e informações mercadológicas, informações internas, informações sobre organização dos trabalhos e procedimentos, informações cadastrais de clientes, de fornecedores e parceiros comerciais, dados pessoais nos termos da Lei nº 13.709/2018, outras informações financeiras, contábeis, tecnológicas ou comerciais, dentre outras.","Serão consideradas “Informações Confidenciais” e de titularidade da Parte Reveladora toda e qualquer informação não pública relacionada à Parte Reveladora e/ou ao Projeto, visualmente verificada, escrita, eletrônica, digital, magnética, ou de qualquer outro modo revelada, incluindo por meios de códigos ou criptografias, pela Parte Reveladora à Parte Receptora e/ou a seus Representantes, contendo ela, ou não, a classificação como “Confidencial”, tais como, mas não se limitando a: informações sobre negociações em andamento, modelos e estratégias de negócios, processos, projetos, características de produtos, conceitos de produtos, know-how, técnicas, invenções, designs, desenhos, especificações, diagramas, fórmulas, soluções, modelos, demonstrações, fluxogramas, relatórios, compilações, previsões, avaliações, projeções, softwares, sistemas, programas, bancos de dados, documentos, contratos, preços e custos, definições e informações mercadológicas, informações internas, informações sobre organização dos trabalhos e procedimentos, informações cadastrais de clientes, de fornecedores e parceiros comerciais, dados pessoais nos termos da Lei nº 13.709/2018, outras informações financeiras, contábeis, tecnológicas ou comerciais, dentre outras.",changed
"Não obstante às disposições da Cláusula 1.1, não constituirão Informações Confidenciais para fins deste Acordo, as informações que:","Não constituirão Informações Confidenciais para fins deste Acordo, as informações que:",changed
"no momento da disponibilização à Parte Receptora ou aos seus representantes (incluindo seus representantes legais, administradores, empregados, contratados, sucessores e demais pessoas vinculadas à respectiva Parte, denominadas “Representantes”), as informações sejam de domínio público ou de conhecimento da Parte Receptora, desde que a Parte Receptora tenha recebido as informações de pessoa legítima e autorizada para tal;","no momento da disponibilização pela Parte Reveladora à Parte Receptora ou aos seus Representantes, sejam de domínio público ou de conhecimento da Parte Receptora, desde que a Parte Receptora tenha recebido as informações de pessoa que, no melhor conhecimento da Parte Receptora, fosse autorizada para realizar tal divulgação;",changed
"após a divulgação pela Parte Reveladora, tornem-se disponíveis de forma generalizada a terceiros, sem que tal fato tenha ocorrido por culpa ou dolo da Parte Receptora;","após a divulgação pela Parte Reveladora, tornem-se disponíveis de forma generalizada a terceiros, sem que tal fato tenha ocorrido por culpa ou dolo da Parte Receptora;",equal
"tenham sido desenvolvidas de forma independente pela Parte Receptora, sem utilização direta ou indireta das Informações Confidenciais;","tenham sido desenvolvidas de forma independente pela Parte Receptora, sem utilização das Informações Confidenciais;",changed
"tenham a sua divulgação expressamente autorizada, por escrito, pela Parte Reveladora;","tenham a sua divulgação expressamente autorizada, por escrito, pela Parte Reveladora;",equal
"sejam exigidas judicialmente, por lei, regulamento ou por ordem de autoridade competente, observado o item 2 abaixo;","sejam exigidas judicialmente, por lei, regulação ou por ordem de autoridade competente, observado o item 2 abaixo;",equal
CLÁUSULA SEGUNDA – OBRIGAÇÕES,CLÁUSULA SEGUNDA – OBRIGAÇÕES,equal
